date,arrive_num,acuity_avg,acuity_1_num,acuity_2_num,acuity_3_num,acuity_4_num,acuity_5_num
12/8/22,280,3.152173913,1,41,154,75,5
12/9/22,275,3.194139194,3,34,148,83,5
12/10/22,226,3.197309417,1,30,120,68,4
12/11/22,214,3.112676056,2,28,127,56,0
12/12/22,238,3.147058824,0,35,134,68,1
12/13/22,261,3.261538462,1,23,148,83,5
12/14/22,245,3.1,0,35,149,53,3
12/15/22,278,3.097472924,4,48,150,67,8
12/16/22,256,3.101960784,0,35,160,59,1
12/17/22,250,3.060240964,4,45,136,60,4
12/18/22,232,3.087336245,1,38,134,52,4
12/19/22,244,3.181069959,1,44,114,78,6
12/20/22,256,3.067193676,3,41,145,64,0
12/21/22,250,3.184,0,37,135,73,5
12/22/22,271,3.243445693,1,27,153,78,8
12/23/22,243,3.042553191,3,40,142,44,6
12/24/22,181,3.25,0,20,100,55,5
12/25/22,261,3.157480315,3,44,120,84,3
12/26/22,317,3.234177215,1,44,160,102,9
12/27/22,258,3.118577075,4,39,137,69,4
12/28/22,282,3.107526882,1,40,168,68,2
12/29/22,266,3.11627907,4,40,138,74,2
12/30/22,255,3.184313725,1,40,138,63,13
12/31/22,212,3.172248804,1,26,120,60,2
1/1/23,251,3.152610442,2,37,139,63,8
1/2/23,252,3.204819277,2,42,112,89,4
1/3/23,250,3.211382114,0,25,152,61,8
1/4/23,282,3.017793594,1,57,162,58,3
1/5/23,262,3.127413127,2,28,165,63,1
1/6/23,240,3.167364017,1,40,122,70,6
1/7/23,244,3.069672131,2,38,146,57,1
1/8/23,226,3.093333333,1,42,117,65,0
1/9/23,258,3.212,1,36,126,83,4
1/10/23,259,3.20233463,4,30,140,76,7
1/11/23,265,3.117424242,0,47,143,70,4
1/12/23,244,3.106557377,2,44,125,72,1
1/13/23,258,3.165354331,1,31,148,73,1
1/14/23,239,3.088983051,4,41,127,58,6
1/15/23,229,3.109649123,0,46,113,67,2
1/16/23,281,3.132142857,2,42,158,73,5
1/17/23,279,3.032258065,2,59,148,68,2
1/18/23,277,3.174545455,4,30,162,72,7
1/19/23,226,3.129464286,4,35,119,60,6
1/20/23,245,3.168032787,2,26,148,65,3
1/21/23,216,3.050925926,3,33,132,46,2
1/22/23,214,3.028037383,1,44,120,46,3
1/23/23,291,3.110726644,0,57,149,77,6
1/24/23,273,3.048327138,0,55,149,62,3
1/25/23,257,3.125490196,0,43,139,71,2
1/26/23,260,3.19844358,1,22,168,57,9
1/27/23,264,3.106870229,2,45,149,55,11
1/28/23,232,3.142241379,2,37,127,58,8
1/29/23,232,3.149779736,0,25,144,57,1
1/30/23,295,3.18707483,1,43,155,90,5
1/31/23,276,3.138181818,0,42,157,72,4
2/1/23,273,3.081784387,3,42,158,62,4
2/2/23,302,3.133333333,4,48,157,86,5
2/3/23,270,3.145522388,1,43,150,64,10
2/4/23,233,3.056277056,2,45,124,58,2
2/5/23,247,3.097165992,4,53,113,69,8
2/6/23,292,3.143835616,3,49,148,87,5
2/7/23,296,3.193877551,0,41,158,92,3
2/8/23,270,3.092936803,2,45,158,54,10
2/9/23,291,3.093425606,2,45,168,72,2
2/10/23,297,3.192567568,1,45,152,92,6
2/11/23,248,3.201612903,0,42,127,66,13
2/12/23,251,3.064,0,48,141,58,3
2/13/23,309,3.275080906,1,36,155,111,6
2/14/23,266,3.125,2,32,163,65,2
2/15/23,291,3.04467354,4,52,165,67,3
2/16/23,269,3.145522388,4,33,154,74,3
2/17/23,287,3.119298246,1,42,167,72,3
2/18/23,230,3.212389381,1,26,127,68,4
2/19/23,239,3.246861925,3,24,126,83,3
2/20/23,283,3.197879859,3,47,134,89,10
2/21/23,299,3.155405405,2,41,165,85,3
2/22/23,266,3.080152672,3,33,171,50,5
2/23/23,263,3.05,1,47,155,52,5
2/24/23,244,3.172131148,1,31,144,61,7
2/25/23,217,3.037037037,2,45,114,53,2
2/26/23,244,3.070247934,2,43,135,60,2
2/27/23,267,3.116981132,1,44,145,73,2
2/28/23,288,3.105263158,3,43,162,75,2
3/1/23,261,3.134099617,1,43,147,60,10
3/2/23,269,3.138059701,1,34,161,71,1
3/3/23,277,3.094890511,2,49,149,69,5
3/4/23,207,3.117073171,0,28,128,46,3
3/5/23,244,3.124481328,3,31,141,65,1
3/6/23,312,3.115755627,2,53,165,89,2
3/7/23,288,3.056338028,6,43,168,63,4
3/8/23,268,3.138059701,3,42,144,73,6
3/9/23,260,3.054054054,3,52,132,72,0
3/10/23,248,3.170040486,3,33,133,75,3
3/11/23,262,3.158301158,2,36,145,71,5
3/12/23,256,3.197628458,2,26,149,72,4
3/13/23,307,3.134868421,0,51,166,82,5
3/14/23,283,3.145907473,2,43,152,80,4
3/15/23,264,3.176245211,0,35,149,73,4
3/16/23,272,3.137037037,3,41,149,70,7
3/17/23,269,3.060150376,1,49,150,65,1
3/18/23,246,3.138211382,1,43,126,73,3
3/19/23,267,3.228464419,1,39,134,84,9
3/20/23,312,3.2,1,47,151,111,0
3/21/23,257,3.18972332,0,30,148,72,3
3/22/23,255,3.111111111,0,42,144,62,4
3/23/23,285,3.106761566,3,47,151,77,3
3/24/23,235,3.170940171,1,33,130,65,5
3/25/23,252,3.052631579,3,55,119,66,4
3/26/23,215,3.2,2,29,111,70,3
3/27/23,303,3.215753425,0,36,169,75,12
3/28/23,296,3.214285714,1,44,148,93,8
3/29/23,243,3.14957265,1,35,129,66,3
3/30/23,237,3.139830508,2,33,132,68,1
3/31/23,231,3.131004367,0,34,132,62,1
4/1/23,230,3.149779736,2,35,121,65,4
4/2/23,239,3.187234043,3,35,123,63,11
4/3/23,266,3.206896552,1,34,139,84,3
4/4/23,270,3.116104869,1,40,157,65,4
4/5/23,255,3.106299213,3,40,140,69,2
4/6/23,226,3.084070796,1,38,130,55,2
4/7/23,256,3.05078125,1,47,149,56,3
4/8/23,217,3.11682243,2,36,112,63,1
4/9/23,255,3.164658635,2,34,147,53,13
4/10/23,316,3.143769968,0,56,162,89,6
4/11/23,279,3.137681159,3,41,147,85,0
4/12/23,252,3.032,1,53,136,57,3
4/13/23,265,3.189393939,1,40,134,86,3
4/14/23,251,3.060240964,4,41,144,56,4
4/15/23,235,3.094017094,1,40,135,52,6
