date,arrive_num,acuity_avg
4/30/23,240,3.138655462
5/1/23,293,3.110726644
5/2/23,284,3.09252669
5/3/23,262,3.176923077
5/4/23,265,3.180076628
5/5/23,254,3.015748031
5/6/23,221,3.082568807
5/7/23,225,3.058035714
5/8/23,290,3.167247387
5/9/23,254,3.296442688
5/10/23,229,3.114035088
5/11/23,248,3.197580645
5/12/23,291,3.059233449
5/13/23,234,3.086206897
5/14/23,235,3.055555556
5/15/23,342,3.128654971
5/16/23,311,3.074433657
5/17/23,281,3.119133574
5/18/23,298,3.033670034
5/19/23,253,3.09486166
5/20/23,262,3.007722008
5/21/23,268,3.142322097
